X,Y,OBJECTID,CBML,TIPO_SITIO,NOMBRE,TIPO_IMPORTANCIA
-75.585136477899994,6.2208183715,10663,15040150001,Comercio,FRENOS DEL SUR,Medio
-75.585651221600003,6.2270831989,10664,15030370034,Escuelas Colegios,HOGAR INFANTIL EL REBAÑO,Alta
-75.585888409700004,6.2030749537,10665,15100500003,Industria,TELAS DECORATIVAS,Medio
-75.581500912400003,6.2314496949,10666,15020090038,Industria,TEXTILES MIRATEX,Medio
-75.586301092699998,6.2290331495,10667,15030650002,Bares Discotecas,CORPORACION CULTURARTE BARRIO TRINIDAD,Alta
-75.577528238599996,6.2271726973,10668,15040860037,Industria,DISCOS VICTORIA,Medio
-75.577484840400004,6.2273293564,10669,15040860008,Industria,CAUCHOS JAYDOL,Medio
-75.585362385099998,6.2209806757,10670,15040150019,Industria,TALLER MECANICA CERCHAS,Medio
-75.584589028400003,6.2022597834,10671,15100490001,Comercio,AEROMENSAJERIA,Medio
-75.585315348799995,6.2025250293,10672,15100490006,Comercio,SERESA,Medio
-75.579671599500003,6.2300581701,10673,15020020004,Comercio,HOGARMODA,Medio
-75.596237999099998,6.1987710191,10674,15110940019,Conjuto Residencial,GUAYABALIA ETAPA 1,Alta
-75.589802733,6.200903591,10675,15110950001,Cancha,FUTBOL SAN RAFAEL,Baja
-75.580749587300005,6.2202686066,10676,15040210001,Parque,SAN PABLO,Baja
-75.588950421099995,6.1991421091,10677,15100160077,Industria,CENTRO INDUSTRIAL FORMAS INTIMAS,Medio
-75.587589194200007,6.1993377638,10678,15100250019,Señalización,VALLAS Y AVISOS,Baja
-75.582205774399995,6.2072429422,10680,15090720118,Industria,MANUFACTURAS PLASTICAS SA,Medio
-75.581542492300002,6.227859416,10681,15030580021,Edificios,ISAZA PIEDRAHITA,Alta
-75.578313464600001,6.2238275352,10682,15040820012,Industria,CAR INTEGRADOS S.A.,Medio
-75.581211753100007,6.2314742199,10683,15020090021,Comercio,TECNOBORDA,Medio
-75.578258303499993,6.2322934459,10684,15020120001,Tanque,TANQUE,Baja
-75.577415473900004,6.2269493385,10685,15040860038,Comercio,LAVANDERIA AGUA PURA,Medio
-75.581242715299993,6.2172407277,10686,15070520010,Entidades Financieras,BANCAFE,Alta
-75.579574712799996,6.2266629643,10687,15030480042,Instituto Educativo,INSTITUTO EDUCATIVO BENJAMIN HERRERA,Alta
-75.579565112500006,6.229822927,10688,15020020002,Industria,TALLER IND. RALVHER,Medio
-75.577007349,6.2277859835,10689,15040860010,Industria,J.H. RESTREPO Y CIA. S.C.A.,Medio
-75.590392108499998,6.1999661017,10690,15110260017,Señalización,SALON COMUNAL SAN RAFAEL,Baja
-75.5834386736,6.1988263888,10691,15100270017,Industria,PRODUCTOS FAMILIA,Medio
-75.578472917799999,6.227028225,10693,15030740035,Industria,MANCESA,Medio
-75.581410517600006,6.2292501514,10694,15020040005,Señalización,ENSANCHE,Baja
-75.59003893,6.2005424112,10695,15110950011,Centro de Cultura Religiosa,IGLESIA SAN GABRIEL DE LA DOLOROSA,Alta
-75.582077666199993,6.2207322698,10696,15040270007,Edificios,GOMEZ MONTOYA P.H.,Medio
-75.581341094699994,6.2205363488,10697,15040260004,Edificios,SIERRA,Medio
-75.581438258399999,6.2194664058,10698,15040200013,Restaurantes,RESTAURANTE D'VERO,Medio
-75.581512969800002,6.2194866198,10699,15040200014,Industria,METALMECANICA,Medio
-75.581915773600002,6.2225474503,10701,15040580014,Edificios,GIRALDO LONDO,Medio
-75.583339506499996,6.2227475227,10702,15040600023,Edificios,RESTREPO DE HURTADO,Medio
-75.581498692300002,6.2222936212,10703,15040580022,Edificios,CARLOS ANDRES,Alta
-75.583876836800002,6.222801479,10704,15040600008,Edificios,GUADAIRA,Alta
-75.582143973100003,6.2225640638,10705,15040580011,Comercio,DELIEXPRESS,Medio
-75.582475565,6.2231340818,10706,15040650020,Edificios,CARDENAS,Medio
-75.583355976799993,6.2233596056,10707,15040640019,Edificios,JESSICA,Medio
-75.582774518600004,6.2236657745,10708,15040680015,Edificios,FAMILIA LONDOÑO,Medio
-75.580872121300004,6.2242344568,10709,15040760001,Comercio,ESTANQUILLO,Medio
-75.580963913900007,6.2243475143,10710,15040760003,Edificios,SALDARRIAGA,Medio
-75.580973399300007,6.2245771903,10711,15040760029,Edificios,CONSUELO,Medio
-75.582205130700004,6.22327864,10712,15040680002,Edificios,ISABEL P.H.,Medio
-75.581436263200004,6.2226265282,10713,15040660001,Edificios,TORES SANTA,Medio
-75.583425384099996,6.2236607879,10714,15040690005,Edificios,OROZCO RUIZ P.H.,Medio
-75.583036256599996,6.2239602395,10715,15040700001,Edificios,SOFIA ACEVEDO,Medio
-75.58335132,6.2241655525,10716,15040700003,Comercio,CENTRO RESIDENCIAL COOPAVA,Alta
-75.581816411299997,6.2245140631,10717,15040760018,Edificios,SANTA FE,Alta
-75.5815256713,6.2246269275,10718,15040760019,Edificios,JULIO CESAR,Alta
-75.582592592300003,6.2240842448,10719,15040710015,Edificios,VERA RUA P.H.,Alta
-75.582742570099995,6.2241193449,10720,15040710013,Escuelas Colegios,DE MUSICA SANTA FE,Alta
-75.582675155299995,6.2240895497,10721,15040710014,Otros,FUNDACION INFANTIL LOS GLOBITOS,Baja
-75.583692449300003,6.2237377021,10722,15040690009,Comercio,LA CANASTA,Medio
-75.583357500399998,6.2226479881,10723,15040600001,Edificios,ANA LUCIA RIVERA SANCHEZ,Medio
-75.584006340299993,6.2230713292,10724,15040600012,Droguerias,DROGUERIA LA 65,Baja
-75.581904985400001,6.2234475532,10725,15040670012,Edificios,SOFIA,Medio
-75.581834176,6.2233418342,10726,15040670013,Edificios,RAMIREZ P.H,Medio
-75.581395537700004,6.2231562641,10727,15040670003,Edificios,PELAEZ P.H.,Medio
-75.600300905699996,6.2023206469,11215,16090010078,Conjuto Residencial,RAYO DE SOL,Medio
-75.613860178500005,6.2348789541,11216,16160430001,Centro de Cultura Religiosa,COMPAÑIA MISIONERA DEL SAGRADO CORAZON DE JESUS,Alta
-75.6089124497,6.2337909211,11217,16170030026,Conjuto Residencial,VILLAS DE ALICANTE,Medio
-75.598893622299997,6.2363489164,11218,16200130006,Edificios,LOS CORALES,Medio
-75.595450543499993,6.2155609404,11219,16070100002,Parque,PLAZOLETA,Baja
-75.602911408300002,6.2219165019,11220,16120020010,Conjuto Residencial,CAMPOSTELA,Medio
-75.598382659600006,6.2206363718,11221,16060150002,Conjuto Residencial,RAFAEL URIBE URIBE,Medio
-75.602321636599996,6.2317151669,11222,16030170042,Restaurantes,ASADOS LA 80,Medio
-75.606695835599993,6.2363288965,11223,16170260043,Edificios,RINCON DE LA VILLA,Medio
-75.594021429199998,6.2324750027,11224,16030280004,Edificios,BELEN PATUCA,Medio
-75.604248765199998,6.2131986676,11225,16100300088,Edificios,ARTEAGA TABORDA,Medio
-75.603165473800004,6.2306899156,11226,16140350010,Edificios,PALMA DORADA,Medio
-75.595482797299994,6.2387473373,11227,16200260016,Comercio,COPIERCOL,Baja
-75.599369341200003,6.2375597034,11228,16200210014,Edificios,EL NOGAL NO.1,Medio
-75.594068930199995,6.2293162858,11229,16040050001,Escuelas Colegios,SAN JUAN BOSCO,Alta
-75.608661402699994,6.2340785243,11230,16170030032,Conjuto Residencial,VILLAS DE ALICANTE,Medio
-75.595857931200001,6.2324305201,11231,16030270003,Edificios,PORTON DEL PARQUE,Medio
-75.587637705299997,6.2379330958,11232,16020500018,Comercio,COMCEL,Baja
-75.603705358,6.2207780888,11233,16120020008,Edificios,SAN ANGEL,Medio
-75.608662970699996,6.2338464044,11234,16170030034,Conjuto Residencial,VILLAS DE ALICANTE,Medio
-75.593971106599994,6.2245588463,11235,16050410009,Escuelas Colegios,JARDIN INFANTIL NO 1,Alta
-75.594853277300004,6.2264897542,11236,16050580012,Edificios,ARANGO AVENDAÑO,Medio
-75.596814990300004,6.2373776209,11237,16200200001,Edificios,ARCADIA,Medio
-75.602508408600002,6.2321497811,11238,16030210047,Restaurantes,LA CASA DEL MAYORAL,Baja
-75.602659272699995,6.2322852347,11239,16030210047,Estaciones de Servicio,BOMBA TERPEL MAYORAL,Medio
-75.593207280900003,6.2352533021,11240,16020250001,Centro de Cultura Religiosa,"SALESIANOS ""DON BOSCO""",Alta
-75.596874999500002,6.2387160008,11241,16200250026,Edificios,LOS ALMENDROS,Medio
-75.588448158899993,6.2378537923,11242,16020510014,Edificios,RUEDA CAMPO,Medio
-75.59765457899999,6.2386860722,11243,16200250019,Bares Discotecas,DISCOTECA ANFITRION,Baja
-75.5936540087,6.2159893117,11244,16070070064,Oficina,CORPORACION QUINTAS DEL PLANTIO,Baja
-75.609548598800004,6.2221098837,11245,16130030003,RPH,RAMIREZ HERRERA,Medio
-75.604308793900003,6.2279022716,11246,16140050008,Conjuto Residencial,LOS VELEROS,Medio
-75.595639051099994,6.2370038588,11247,16200110024,Edificios,PROVIDENCIA,Medio
-75.5977993594,6.2174714397,11248,16070140005,Conjuto Residencial,TORRES DEL MARQUEZ,Medio
-75.607184910699999,6.2340713663,11249,16170020024,Edificios,PEREZ VELASQUEZ,Medio
-75.586733151399997,6.2379873435,11250,16010400002,Centros Comerciales,LEY LA 33,Alta
-75.604774500600001,6.2370901753,11251,16180120001,Otros,CASETA,Baja
-75.608921062799993,6.2336076735,11252,16170030029,Conjuto Residencial,VILLAS DE ALICANTE,Medio
-75.609408718699996,6.2300550098,11253,16150060005,Universidades,CASA DEL EGRESADO UNIVERSIDAD DE MEDELLIN,Alta
-75.578533841300001,6.2333323776,11254,16210040001,Comercio,COORDINADORA MERCANTIL,Medio
-75.595747213199999,6.2326599804,11255,16030270014,Clinica Hospitales,CLINICA VETERINARIA,Alta
-75.590359534300006,6.2339300916,11256,16020110033,Edificios,MARIBU,Medio
-75.588518850400007,6.2376341714,11257,16020510006,Edificios,SAN ESTEBAN,Medio
-75.603458546100001,6.211346872,11258,16100230001,Escuelas Colegios,URBANA ANTONIO RICAURTE,Alta
-75.602972140600002,6.2127021317,11259,16100310001,Centro de Cultura Religiosa,IGLESIA SAN BARTOLOME,Alta
-75.606513208300001,6.23311354,11260,16150330019,Comercio,LAVA-AUTOS OSCARDI,Baja
-75.598527967699994,6.238504629,11261,16200240001,Edificios,ROYAL PLAZA,Medio
-75.605247064699995,6.2092299604,11262,16100040102,RPH,GARCIA,Medio
-75.602983615400007,6.2134956924,11263,16100310216,Conjuto Residencial,VILLA DEL CARMEN,Medio
-75.598010526300001,6.2183783528,11264,16070130003,Edificios,EL RODEO,Medio
-75.589838866299999,6.2335503358,11265,16020110036,Edificios,ORIHUELA II,Medio
-75.610911630399997,6.2228007997,11266,16130090056,Edificios,RODRIGUEZ LOPEZ,Medio
-75.583306359800005,6.2383836003,11267,16010450007,Edificios,FATIMA PLAZA N°1,Medio
-75.577360516,6.2330448659,11268,16210030002,Comercio,DISTRIBUIDORA NISSAN,Medio
-75.603433021399994,6.2256509321,11269,16130300001,Parqueaderos,PARQUEADERO MARAIRES,Baja
-75.621259684400002,6.2363380288,11270,16160510005,Escuelas Colegios,SAN PABLO,Alta
-75.586029371699993,6.23571973,11271,16010250002,Edificios,PARQUES DE NAZARETH,Medio
-75.592441090899996,6.2324034607,11272,16020070004,Edificios,PEREZ PARRA,Medio
-75.610902598699994,6.221579308,11273,16130020018,Escuelas Colegios,PEDRO OCTAVIO AMADO,Alta
-75.586857380300003,6.2382505673,11274,16010400002,Centros Comerciales,LEY LA 33,Alta
-75.585928553399995,6.2360555536,11275,16010250009,Edificios,PARQUES DE JUDEA,Medio
-75.603589339899997,6.2117074632,11276,16100230014,Edificios,ROLDAN,Medio
-75.612521166099995,6.2284589401,11277,16160080019,Instituto Educativo,FUNDACIÓN GENTE UNIDA,Medio
-75.596468500699999,6.2190059628,11278,16060110002,Escuelas Colegios,LICEO OCTAVIO HARRY,Alta
-75.583114563699993,6.2369788833,11279,16010330002,Centro de Cultura Religiosa,PARROQUIA NUESTRA SEÑORA DE FATIMA,Alta
-75.6029865629,6.2129654286,11280,16100310180,Centro de Cultura Religiosa,CASA CURAL,Alta
-75.602534976699999,6.2214160521,11281,16120020005,Conjuto Residencial,TORRES DE AVIÑON,Medio
-75.597849259100002,6.2284116306,11282,16050540019,Conjuto Residencial,PLAZA VERACRUZ II,Medio
-75.595600922399996,6.217117249,11283,16070140001,Edificios,LA GIRALDA,Medio
-75.596636572799994,6.2225197649,11284,16050010001,Parque,PARQUE BARRIOS DE JESUS,Baja
-75.604520838799999,6.2104581704,11285,16100250006,Edificios,SALDARRIAGA HERNAN,Medio
-75.5913109456,6.2319351483,11286,16020020002,Estaciones de Servicio,MOBIL GOOD YEAR,Baja
-75.587375289600004,6.2390253653,11287,16010480001,Estaciones de Servicio,BOLIVARIANA,Baja
-75.60191794399999,6.2353786771,11288,16180070001,Conjuto Residencial,NUEVA VILLA DE ABURRA,Medio
-75.598849463700006,6.2199887485,11289,16060040001,Edificios,PANORAMA TORRE I Y II,Medio
-75.590962845099995,6.2388803344,11290,16200280044,Edificios,SAMAN,Medio
-75.594224529599998,6.2148884526,11291,16070080012,Parque,INFANTIL,Baja
-75.595084175899999,6.2222891734,11292,16060250001,Conjuto Residencial,RAFAEL URIBE URIBE,Medio
-75.583764569400003,6.238643883,11293,16010440012,Edificios,ASEDICO,Medio
-75.599560806200003,6.2137644439,11294,16100340025,Edificios,BETANCUR VASCO,Medio
-75.598490195899998,6.2373998584,11295,16200210020,Centro de Cultura Religiosa,IGLESIA LA ERMITA,Alta
-75.606563550600001,6.2308120517,11296,16150200004,Conjuto Residencial,TORRES DE GUAYACANES,Medio
-75.607407214099993,6.2293427659,11297,16150040003,Edificios,VIVERO,Medio
-75.605118752600006,6.2204728377,11298,16110120028,Conjuto Residencial,PORTON DE GALICIA,Alta
-75.606750158500006,6.2303086909,11299,16150140012,Edificios,LOS ALPES,Medio
-75.600292159,6.2322768756,11300,16030240028,Escuelas Colegios,CARLOS FRANCO,Alta
-75.594522172,6.2367047895,11301,16020400014,Edificios,PORTAL DE ALAMEDA,Medio
-75.597923360199999,6.2359470013,11302,16200070014,Edificios,CERROS DEL NOGAL,Medio
-75.601234770399998,6.2301903928,11303,16140300006,Edificios,LOS CRISTALES,Medio
-75.602386493400004,6.2122097237,11304,16100220001,Escuelas Colegios,YERMO PARRES,Alta
-75.590091030699995,6.2337871908,11305,16020110034,Edificios,BARCELONA,Medio
-75.585964281700001,6.2359895584,11306,16010250004,Edificios,DAMASCO,Medio
-75.5952514823,6.2385990072,11307,16200260001,Edificios,MACERATA,Medio
-75.596469949300001,6.2208619973,11308,16060110044,Escuelas Colegios,FRANCISCO JAVIER,Alta
-75.602417760099996,6.2193992907,11309,16110100070,Conjuto Residencial,SAN MIGUEL,Alta
