IrE,ErE,Reward,Param,Value,Q-value
0.5,0.35,-1,infectionProbability,0.4,-1.0957
0.5,0.35,-1,infectionProbability,0.6,-1.1052
0.27,0.346,-1,averageRoomVentilationRate,2,-0.9963
0.366,0.336,-1,averageRoomVentilationRate,8,-1.0472
0.288,0.314,-1,averageRoomVentilationRate,6,-1.0525
0.23,0.15,-1,averageRoomVentilationRate,10,-1.061
0.5,0.35,-1,averageRoomVentilationRate,0,-1.0639
0.422,0.346,-1,averageRoomVentilationRate,4,-1.0709
0.254,0.32,-1,averageRoomVentilationRate,2,-1.0764
0.326,0.308,-1,averageRoomVentilationRate,8,-1.1263
0.188,0.294,-1,averageRoomVentilationRate,6,-1.1314
0.258,0.208,-1,averageRoomVentilationRate,10,-1.1398
0.5,0.35,-1,averageRoomVentilationRate,0,-1.1426
0.384,0.346,-1,averageRoomVentilationRate,4,-1.1494
0.236,0.294,-1,averageRoomVentilationRate,2,-1.1549
0.24,0.254,-1,averageRoomVentilationRate,8,-1.2038
0.176,0.278,-1,averageRoomVentilationRate,6,-1.2088
0.314,0.298,-1,averageRoomVentilationRate,10,-1.217
0.112,0.178,-1,averageRoomVentilationRate,10,-1.2867
0.5,0.35,-1,averageRoomVentilationRate,0,-1.2197
0.352,0.216,-1,averageRoomVentilationRate,4,-1.2264
0.5,0.35,-1,averageRoomVentilationRate,2,-1.2318
0.108,0.348,-1,infectionProbability,0.2,-1.1137
0.374,0.31,-1,infectionProbability,0.6,-1.1796
0.3,0.28,-1,infectionProbability,0,-1.1398
0.482,0.35,-1,infectionProbability,1,-1.1494
0.412,0.294,-1,infectionProbability,0.8,-1.1604
0.496,0.35,-1,infectionProbability,0.4,-1.1738
0.132,0.342,-1,infectionProbability,0.2,-1.1914
0.374,0.254,-1,infectionProbability,0,-1.217
0.5,0.35,-1,infectionProbability,1,-1.2264
0.4,0.35,-1,infectionProbability,0.8,-1.2372
0.472,0.35,-1,infectionProbability,0.4,-1.2503
0.5,0.35,-1,infectionProbability,0.6,-1.256
0.12,0.324,-1,infectionProbability,0.2,-1.2676
0.358,0.278,-1,infectionProbability,0,-1.2926
0.5,0.35,-1,infectionProbability,1,-1.3019
0.27,0.35,-1,infectionProbability,0.8,-1.3124
0.494,0.35,-1,infectionProbability,0.4,-1.3253
0.5,0.35,-1,infectionProbability,0.6,-1.3308
0.158,0.294,-1,infectionProbability,0.2,-1.3423
0.3,0.294,-1,infectionProbability,0,-1.3668
0.3,0.076,-1,averageRoomVentilationRate,8,-1.2797
0.3,0.096,0.02,averageRoomVentilationRate,6,-1.1826
0.3,0.066,0.02,averageRoomVentilationRate,6,-1.157
0.3,0.35,-1,averageRoomVentilationRate,0,-1.2903
0.3,0.122,0.02,averageRoomVentilationRate,6,-1.1318
0.3,0.046,0.02,averageRoomVentilationRate,6,-1.1072
0.3,0.042,0.02,averageRoomVentilationRate,6,-1.083
0.3,0.158,-1,averageRoomVentilationRate,6,-1.1614
0.3,0.064,0.02,averageRoomVentilationRate,6,-1.1362
0.3,0.036,0.02,averageRoomVentilationRate,6,-1.1114
0.316,0.234,-1,averageRoomVentilationRate,6,-1.1892
0.3,0.052,0.02,averageRoomVentilationRate,6,-1.1634
0.3,0.03,0.02,averageRoomVentilationRate,6,-1.1381
0.336,0.27,-1,averageRoomVentilationRate,6,-1.2154
0.3,0.034,0.02,averageRoomVentilationRate,6,-1.1891
0.3,0.036,0.02,averageRoomVentilationRate,6,-1.1633
0.36,0.264,-1,averageRoomVentilationRate,6,-1.24
0.3,0.102,-1,averageRoomVentilationRate,4,-1.3019
0.3,0.266,-1,averageRoomVentilationRate,2,-1.3072
0.36,0.308,-1,averageRoomVentilationRate,6,-1.3152
0.488,0.342,-1,infectionProbability,1,-1.3759
0.166,0.248,-1,infectionProbability,0.8,-1.3862
0.34,0.314,-1,infectionProbability,0.4,-1.3988
0.338,0.326,-1,infectionProbability,0.6,-1.4042
0.094,0.18,-1,infectionProbability,0.6,-1.4712
0.344,0.24,-1,infectionProbability,0.2,-1.4154
0.3,0.034,-1,infectionProbability,0,-1.4395
0.196,0.218,-1,infectionProbability,1,-1.4483
0.452,0.348,-1,infectionProbability,0.8,-1.4585
0.118,0.276,-1,infectionProbability,0.4,-1.4708
0.236,0.078,-1,infectionProbability,0.2,-1.4871
0.35,0.268,-1,infectionProbability,0,-1.5107
0.452,0.334,-1,infectionProbability,1,-1.5194
0.144,0.174,-1,infectionProbability,0.8,-1.5293
0.318,0.324,-1,infectionProbability,0.4,-1.5414
0.22,0.294,-1,infectionProbability,0.6,-1.5418
0.264,0.068,-1,infectionProbability,0.2,-1.5574
0.3,0.066,-1,infectionProbability,0,-1.5805
0.438,0.334,-1,infectionProbability,1,-1.589
0.202,0.172,-1,infectionProbability,0.8,-1.5987
0.422,0.314,-1,averageRoomVentilationRate,8,-1.3541
0.108,0.128,0.02,averageRoomVentilationRate,10,-1.2589
0.246,0.208,-1,averageRoomVentilationRate,10,-1.3338
0.5,0.35,-1,averageRoomVentilationRate,0,-1.3645
0.436,0.346,-1,averageRoomVentilationRate,4,-1.3759
0.244,0.31,-1,averageRoomVentilationRate,2,-1.381
0.472,0.344,-1,averageRoomVentilationRate,6,-1.3889
0.422,0.346,-1,averageRoomVentilationRate,4,-1.445
0.312,0.316,-1,averageRoomVentilationRate,10,-1.4071
0.394,0.31,-1,averageRoomVentilationRate,8,-1.427
0.5,0.35,-1,averageRoomVentilationRate,0,-1.4372
0.346,0.322,-1,averageRoomVentilationRate,2,-1.4534
0.464,0.342,-1,averageRoomVentilationRate,6,-1.4611
0.096,0.092,0.02,averageRoomVentilationRate,10,-1.3769
0.352,0.35,-1,averageRoomVentilationRate,10,-1.4494
0.356,0.278,-1,averageRoomVentilationRate,8,-1.4985
0.5,0.35,-1,averageRoomVentilationRate,0,-1.5085
0.414,0.35,-1,averageRoomVentilationRate,4,-1.5161
0.234,0.206,-1,averageRoomVentilationRate,10,-1.5204
0.44,0.35,-1,averageRoomVentilationRate,2,-1.5243
0.446,0.35,-1,infectionProbability,0.4,-1.6106
0.5,0.35,-1,infectionProbability,0.6,-1.6109
0.138,0.338,-1,infectionProbability,0.2,-1.6262
0.36,0.294,-1,infectionProbability,0,-1.6488
0.5,0.35,-1,infectionProbability,1,-1.6572
0.272,0.35,-1,infectionProbability,0.8,-1.6667
0.494,0.35,-1,infectionProbability,0.4,-1.6784
0.5,0.35,-1,infectionProbability,0.6,-1.6787
0.148,0.304,-1,infectionProbability,0.2,-1.6937
0.372,0.286,-1,infectionProbability,0,-1.7159
0.5,0.35,-1,infectionProbability,1,-1.7241
0.242,0.342,-1,infectionProbability,0.8,-1.7334
0.496,0.35,-1,infectionProbability,0.4,-1.7448
0.498,0.35,-1,infectionProbability,0.6,-1.7451
0.19,0.262,-1,infectionProbability,0.2,-1.7598
