IrE,ErE,Reward,Param,Value,Q-value
0.498,0.35,-0.32,infectionProbability,0.4,-0.2288
0.3,0.35,-0.122,infectionProbability,0,-0.2163
0.5,0.35,-0.322,infectionProbability,1,-0.2374
0.5,0.35,-0.322,infectionProbability,0.6,-0.2375
0.3,0.35,-0.122,infectionProbability,0,-0.222
0.5,0.35,-0.322,infectionProbability,0.2,-0.2462
0.3,0.35,-0.122,infectionProbability,0,-0.2275
0.5,0.35,-0.322,infectionProbability,1,-0.2617
0.3,0.35,-0.122,infectionProbability,0,-0.2329
0.5,0.35,-0.322,infectionProbability,0.4,-0.2541
0.3,0.35,-0.122,infectionProbability,0,-0.2381
0.456,0.35,-0.278,infectionProbability,0.8,-0.2543
0.5,0.35,-0.322,infectionProbability,0.2,-0.2704
0.5,0.35,-0.322,infectionProbability,0.6,-0.2626
0.3,0.35,-0.122,infectionProbability,0,-0.2432
0.3,0.35,-0.122,infectionProbability,0,-0.2481
0.3,0.35,-0.122,infectionProbability,0,-0.2528
0.308,0.35,-0.13,infectionProbability,0,-0.2583
0.5,0.35,-0.322,infectionProbability,0.4,-0.2787
0.5,0.35,-0.322,infectionProbability,0.8,-0.2789
0.314,0.342,-0.136,averageRoomVentilationRate,1.2,-0.2496
0.5,0.35,-0.322,averageRoomVentilationRate,1.8,-0.2483
0.5,0.35,-0.322,averageRoomVentilationRate,0.6,-0.2548
0.35,0.32,-0.172,averageRoomVentilationRate,2.4,-0.24
0.5,0.35,-0.322,averageRoomVentilationRate,3,-0.2615
0.424,0.35,-0.246,averageRoomVentilationRate,2.4,-0.2574
0.438,0.35,-0.26,averageRoomVentilationRate,0,-0.2645
0.5,0.35,-0.322,averageRoomVentilationRate,3,-0.2849
0.46,0.35,-0.282,averageRoomVentilationRate,1.8,-0.2691
0.442,0.344,-0.264,averageRoomVentilationRate,1.2,-0.2685
0.5,0.35,-0.322,averageRoomVentilationRate,0.6,-0.2793
0.37,0.35,-0.192,averageRoomVentilationRate,2.4,-0.2689
0.456,0.35,-0.278,averageRoomVentilationRate,0,-0.2843
0.5,0.35,-0.322,averageRoomVentilationRate,1.2,-0.2926
0.296,0.348,-0.118,averageRoomVentilationRate,2.4,-0.2726
0.492,0.35,-0.314,averageRoomVentilationRate,1.8,-0.2924
0.5,0.35,-0.322,averageRoomVentilationRate,2.4,-0.2966
0.45,0.35,-0.272,averageRoomVentilationRate,0.6,-0.2981
0.5,0.35,-0.322,averageRoomVentilationRate,0,-0.308
0.5,0.35,-0.322,averageRoomVentilationRate,3,-0.3086
0.3,0.13,-0.122,infectionProbability,0,-0.2627
0.5,0.35,-0.322,infectionProbability,1,-0.2861
0.476,0.35,-0.298,infectionProbability,0.6,-0.2845
0.3,0.13,-0.122,infectionProbability,0,-0.267
0.3,0.228,-0.122,infectionProbability,0,-0.2712
0.088,0.336,0,infectionProbability,0.2,-0.2623
0.246,0.19,-0.158,infectionProbability,0.2,-0.2702
0.496,0.35,-0.408,infectionProbability,0.6,-0.3158
0.062,0.328,0,infectionProbability,0.2,-0.2621
0.272,0.198,-0.21,infectionProbability,0.2,-0.2753
0.3,0.212,-0.238,infectionProbability,0,-0.2869
0.06,0.324,0,infectionProbability,0.2,-0.267
0.28,0.208,-0.22,infectionProbability,0.2,-0.281
0.464,0.35,-0.404,infectionProbability,0.4,-0.3107
0.47,0.35,-0.41,infectionProbability,0.8,-0.3116
0.31,0.204,-0.25,infectionProbability,0.2,-0.2976
0.5,0.35,-0.44,infectionProbability,1,-0.3215
0.3,0.174,-0.24,infectionProbability,0,-0.3023
0.356,0.188,-0.296,infectionProbability,0.2,-0.3182
0.3,0.194,-0.24,infectionProbability,0,-0.3172
0.3,0.17,-0.24,averageRoomVentilationRate,3,-0.3222
0.354,0.218,-0.294,averageRoomVentilationRate,1.8,-0.3131
0.3,0.328,-0.24,averageRoomVentilationRate,1.2,-0.3078
0.3,0.226,-0.24,averageRoomVentilationRate,2.4,-0.3117
0.374,0.336,-0.314,averageRoomVentilationRate,0.6,-0.3206
0.3,0.338,-0.24,averageRoomVentilationRate,1.2,-0.3226
0.3,0.35,-0.24,averageRoomVentilationRate,0,-0.3228
0.354,0.246,-0.294,averageRoomVentilationRate,2.4,-0.3318
0.3,0.296,-0.24,averageRoomVentilationRate,1.8,-0.3277
0.3,0.35,-0.24,averageRoomVentilationRate,0.6,-0.335
0.362,0.228,-0.302,averageRoomVentilationRate,3,-0.3427
0.3,0.35,-0.24,averageRoomVentilationRate,0.6,-0.3481
0.3,0.322,-0.24,averageRoomVentilationRate,1.2,-0.3369
0.352,0.35,-0.292,averageRoomVentilationRate,0,-0.3423
0.3,0.294,-0.24,averageRoomVentilationRate,1.8,-0.3418
0.3,0.192,-0.24,averageRoomVentilationRate,2.4,-0.3458
0.368,0.332,-0.308,averageRoomVentilationRate,1.2,-0.3576
0.3,0.29,-0.24,averageRoomVentilationRate,1.8,-0.3556
0.3,0.35,-0.24,averageRoomVentilationRate,0,-0.356
0.3,0.256,-0.24,averageRoomVentilationRate,3,-0.3565
0.378,0.35,-0.318,infectionProbability,0.4,-0.3332
0.236,0.264,-0.176,infectionProbability,0.8,-0.3198
0.496,0.35,-0.436,infectionProbability,0.6,-0.3499
0.3,0.176,-0.24,infectionProbability,0,-0.3317
0.248,0.204,-0.188,infectionProbability,0.2,-0.3275
0.5,0.35,-0.44,infectionProbability,0.8,-0.3542
0.496,0.35,-0.436,infectionProbability,1,-0.3555
0.28,0.164,-0.22,infectionProbability,0.2,-0.3397
0.3,0.19,-0.24,infectionProbability,0,-0.3457
0.254,0.346,-0.194,infectionProbability,0.4,-0.3426
0.296,0.182,-0.236,infectionProbability,0.2,-0.3531
0.47,0.35,-0.41,infectionProbability,0.4,-0.3733
0.3,0.178,-0.24,infectionProbability,0,-0.3594
0.322,0.25,-0.262,infectionProbability,0.6,-0.3656
0.206,0.348,-0.146,infectionProbability,0.2,-0.3571
0.458,0.35,-0.398,infectionProbability,0.8,-0.3834
0.338,0.282,-0.278,infectionProbability,1,-0.3726
0.178,0.346,-0.118,infectionProbability,0.2,-0.3582
0.072,0.304,0,infectionProbability,0.2,-0.3474
0.364,0.3,-0.304,infectionProbability,0.2,-0.3674
0.256,0.35,-0.196,averageRoomVentilationRate,2.4,-0.355
0.424,0.35,-0.364,averageRoomVentilationRate,0.6,-0.374
0.398,0.348,-0.338,averageRoomVentilationRate,2.4,-0.3782
0.374,0.35,-0.314,averageRoomVentilationRate,1.8,-0.3763
0.5,0.35,-0.44,averageRoomVentilationRate,0,-0.3893
0.358,0.346,-0.298,averageRoomVentilationRate,3,-0.3756
0.5,0.35,-0.44,averageRoomVentilationRate,0,-0.4194
0.182,0.35,-0.122,averageRoomVentilationRate,1.2,-0.3591
0.48,0.35,-0.42,averageRoomVentilationRate,1.2,-0.3903
0.5,0.35,-0.44,averageRoomVentilationRate,0.6,-0.4068
0.182,0.22,-0.122,averageRoomVentilationRate,3,-0.3765
0.436,0.35,-0.376,averageRoomVentilationRate,1.8,-0.4026
0.116,0.338,0,averageRoomVentilationRate,3,-0.3652
0.202,0.232,-0.142,averageRoomVentilationRate,3,-0.3684
0.316,0.346,-0.256,averageRoomVentilationRate,3,-0.383
0.166,0.346,-0.106,averageRoomVentilationRate,2.4,-0.3774
0.2,0.226,-0.14,averageRoomVentilationRate,2.4,-0.3801
0.382,0.35,-0.322,averageRoomVentilationRate,2.4,-0.4009
0.064,0.328,0,averageRoomVentilationRate,3,-0.3715
0.232,0.202,-0.172,averageRoomVentilationRate,3,-0.3776
0.3,0.242,-0.24,infectionProbability,0,-0.3726
0.456,0.35,-0.396,infectionProbability,0.6,-0.3942
0.264,0.226,-0.204,infectionProbability,0.2,-0.3768
0.3,0.216,-0.24,infectionProbability,0,-0.3854
0.496,0.35,-0.436,infectionProbability,1,-0.405
0.266,0.224,-0.206,infectionProbability,0.4,-0.3827
0.182,0.346,-0.122,infectionProbability,0.2,-0.3777
0.096,0.316,0,infectionProbability,0.2,-0.3663
0.306,0.19,-0.246,infectionProbability,0.2,-0.38
0.15,0.346,0,infectionProbability,0.2,-0.3686
0.062,0.316,0,infectionProbability,0.2,-0.3575
0.352,0.218,-0.292,infectionProbability,0.2,-0.376
0.196,0.346,-0.136,infectionProbability,0.2,-0.3783
0.082,0.308,0,infectionProbability,0.2,-0.3669
0.37,0.232,-0.31,infectionProbability,0.2,-0.3869
0.462,0.35,-0.402,infectionProbability,0.4,-0.4114
0.386,0.35,-0.326,infectionProbability,0.8,-0.4045
0.38,0.246,-0.32,infectionProbability,0,-0.4058
0.144,0.342,0,infectionProbability,0.2,-0.3753
0.12,0.27,0,infectionProbability,0.2,-0.3641
0.344,0.348,-0.284,averageRoomVentilationRate,3,-0.3946
0.48,0.35,-0.42,averageRoomVentilationRate,1.2,-0.4206
0.114,0.254,0,averageRoomVentilationRate,3,-0.3828
0.368,0.346,-0.308,averageRoomVentilationRate,3,-0.4021
0.248,0.35,-0.188,averageRoomVentilationRate,2.4,-0.4077
0.15,0.258,0,averageRoomVentilationRate,3,-0.39
0.344,0.346,-0.284,averageRoomVentilationRate,3,-0.4067
0.344,0.35,-0.284,averageRoomVentilationRate,1.8,-0.4189
0.184,0.222,-0.124,averageRoomVentilationRate,3,-0.4069
0.5,0.35,-0.44,averageRoomVentilationRate,0,-0.45
0.5,0.35,-0.44,averageRoomVentilationRate,0.6,-0.4386
0.196,0.344,-0.136,averageRoomVentilationRate,1.2,-0.4206
0.3,0.35,-0.24,averageRoomVentilationRate,3,-0.4187
0.164,0.35,-0.104,averageRoomVentilationRate,2.4,-0.4059
0.214,0.242,-0.154,averageRoomVentilationRate,2.4,-0.4091
0.336,0.35,-0.276,averageRoomVentilationRate,2.4,-0.4244
0.05,0.336,0,averageRoomVentilationRate,3,-0.4062
0.248,0.35,-0.198,averageRoomVentilationRate,0.6,-0.443
0.274,0.35,-0.224,averageRoomVentilationRate,3,-0.4164
0.062,0.326,0,averageRoomVentilationRate,3,-0.4039
0.238,0.242,-0.188,infectionProbability,0.4,-0.4146
0.224,0.35,-0.174,infectionProbability,0.2,-0.3705
0.292,0.346,-0.242,infectionProbability,0.4,-0.4233
0.294,0.194,-0.244,infectionProbability,0.2,-0.3838
0.3,0.196,-0.25,infectionProbability,0,-0.4171
0.096,0.312,0,infectionProbability,0.2,-0.3723
0.336,0.226,-0.286,infectionProbability,0.2,-0.3897
0.208,0.346,-0.158,infectionProbability,0.2,-0.3939
0.084,0.302,0,infectionProbability,0.2,-0.382
0.36,0.242,-0.31,infectionProbability,0.2,-0.4016
0.496,0.35,-0.446,infectionProbability,0.6,-0.427
0.076,0.296,0,infectionProbability,0.2,-0.3895
0.34,0.272,-0.29,infectionProbability,0.2,-0.4068
0.5,0.35,-0.45,infectionProbability,0.8,-0.4373
0.406,0.348,-0.356,infectionProbability,1,-0.4285
0.36,0.34,-0.31,infectionProbability,0.2,-0.4256
0.5,0.35,-0.45,infectionProbability,1,-0.4598
0.3,0.152,-0.25,infectionProbability,0,-0.4296
0.446,0.35,-0.396,infectionProbability,0.4,-0.4502
0.11,0.346,0,infectionProbability,0.2,-0.4129
0.16,0.23,-0.11,averageRoomVentilationRate,3,-0.4028
0.372,0.346,-0.322,averageRoomVentilationRate,3,-0.4229
0.352,0.35,-0.302,averageRoomVentilationRate,1.8,-0.4366
0.182,0.35,-0.132,averageRoomVentilationRate,1.2,-0.4212
0.49,0.35,-0.44,averageRoomVentilationRate,1.2,-0.4526
0.104,0.342,0,averageRoomVentilationRate,3,-0.4102
0.198,0.198,-0.148,averageRoomVentilationRate,3,-0.4127
0.39,0.35,-0.34,averageRoomVentilationRate,2.4,-0.4449
0.5,0.35,-0.45,averageRoomVentilationRate,0.6,-0.4726
0.218,0.198,-0.168,averageRoomVentilationRate,3,-0.4171
0.254,0.35,-0.204,averageRoomVentilationRate,3,-0.425
0.07,0.334,0,averageRoomVentilationRate,3,-0.4123
0.254,0.188,-0.204,averageRoomVentilationRate,3,-0.4203
0.244,0.35,-0.194,averageRoomVentilationRate,3,-0.4271
