"Susceptible","Exposed","Infected","Recovered","OnTreatment"
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1665.0,6.0,0.0,0.0
3298.0,1664.0,7.0,0.0,0.0
3298.0,1664.0,7.0,0.0,0.0
3298.0,1664.0,7.0,0.0,0.0
3298.0,1664.0,7.0,0.0,0.0
3298.0,1664.0,7.0,0.0,0.0
3298.0,1664.0,7.0,0.0,0.0
3298.0,1664.0,7.0,0.0,0.0
3298.0,1664.0,7.0,0.0,0.0
3298.0,1664.0,7.0,0.0,0.0
3298.0,1664.0,7.0,0.0,0.0
3298.0,1664.0,7.0,0.0,0.0
3298.0,1664.0,7.0,0.0,0.0
3298.0,1664.0,7.0,0.0,0.0
3298.0,1664.0,7.0,0.0,0.0
3298.0,1664.0,7.0,0.0,0.0
3298.0,1664.0,7.0,0.0,0.0
3298.0,1664.0,7.0,0.0,0.0
3297.0,1665.0,7.0,0.0,0.0
3297.0,1665.0,7.0,0.0,0.0
3297.0,1665.0,7.0,0.0,0.0
3297.0,1665.0,7.0,0.0,0.0
3297.0,1665.0,7.0,0.0,0.0
3297.0,1665.0,7.0,0.0,0.0
3297.0,1665.0,7.0,0.0,0.0
3297.0,1665.0,7.0,0.0,0.0
3297.0,1665.0,7.0,0.0,0.0
3297.0,1665.0,7.0,0.0,0.0
3297.0,1665.0,7.0,0.0,0.0
3297.0,1665.0,7.0,0.0,0.0
3297.0,1665.0,7.0,0.0,0.0
3297.0,1665.0,7.0,0.0,0.0
3297.0,1665.0,7.0,0.0,0.0
3297.0,1665.0,7.0,0.0,0.0
3297.0,1665.0,7.0,0.0,0.0
3297.0,1665.0,7.0,0.0,0.0
3297.0,1665.0,7.0,0.0,0.0
3297.0,1665.0,7.0,0.0,0.0
3297.0,1665.0,7.0,0.0,0.0
3297.0,1665.0,7.0,0.0,0.0
3297.0,1665.0,7.0,0.0,0.0
3297.0,1665.0,7.0,0.0,0.0
3297.0,1665.0,7.0,0.0,0.0
3297.0,1665.0,7.0,0.0,0.0
3297.0,1665.0,7.0,0.0,0.0
3297.0,1665.0,7.0,0.0,0.0
